Country,River,X1 DO,X2 pH,X3 TDS,X5 Population,Land Area,X4 HPD,Y AQI
Argentina,Baker,9.512,7.908,45.628,44842670.600,2736690.000,16.386,26
Argentina,Chico,9.88,13.974,3823.982,44842670.600,2736690.000,16.386,26
Argentina,Chubut,9.608,8.18,2691.644,44842670.600,2736690.000,16.386,26
Argentina,Colorado,8.253,8.44,7716.72,44903399.500,2736690.000,16.408,26
Argentina,Gallegos,10.38,7.782,45.522,44842670.600,2736690.000,16.386,26
Argentina,La Plata,7.734,7.648,1742.316,44537991.333,2736690.000,16.274,26
Argentina,Mar Chiquita,7.548,8.298,786.288,44842670.600,2736690.000,16.386,26
Argentina,Negro,14.262,8.1,117.536,44903399.500,2736690.000,16.408,26
Argentina,Palena,9.82,7.758,38.526,44842670.600,2736690.000,16.386,26
Argentina,Puelo,10.492,7.878,2263.078,44842670.600,2736690.000,16.386,26
Argentina,Santa Cruz,8.272,7.51,27.576,44842670.600,2736690.000,16.386,26
Argentina,Valdiva,9.4,7.89,36.56,44842670.600,2736690.000,16.386,26
Argentina,Yelcho,9.826,7.522,1317.172,44842670.600,2736690.000,16.386,26
Austria,Donau,7.502,8.534,185.787,9131604.500,82520.000,110.659,18
Canada,Churchill,9.914,8.022,170.18,36747695.600,8788700.000,4.181,14
Canada,Columbia,9.832,8.09,194,36914296.333,8788700.000,4.200,14
Canada,Fraser,10.718,7.84,72.782,36747695.600,8788700.000,4.181,14
Canada,Mackenzie,10.996,8.054,183.17,36747695.600,8788700.000,4.181,14
Canada,Mississippi,9.17,8.182,512.234,36914296.333,8788700.000,4.200,14
Canada,Nelson-Saskatchewan,9.722,8.058,282.962,36914296.333,8788700.000,4.200,14
Germany,Rhine-Meuse,9.619,7.933,14.428,84146426.111,349390.000,240.838,17
Greece,Maritsa,6.106,7.318,189.185,10641958.600,128900.000,82.560,31
Greece,Nestos,7.882,7.642,105.8,10641958.600,128900.000,82.560,31
Greece,Struma,7.326,7.837,236.04,10658825.286,128900.000,82.691,31
Greece,Vardar,8.697,7.694,277.483,10641958.600,128900.000,82.560,31
Greece,Vijose,7.332,7.948,192.557,10658825.286,128900.000,82.691,31
India,Brahmani,6.888,7.559,90.947,1340647562.714,2973190.000,450.912,98
India,Cauvery,5.826,7.604,415.356,1340647562.714,2973190.000,450.912,98
India,Ganges-Brahmaputra-Meghna,6.456,7.69,322.403,1340647562.714,2973190.000,450.912,98
India,Godavari,6.326,7.84,237.643,1340647562.714,2973190.000,450.912,98
India,Indus,7.94,7.737,94.891,1340647562.714,2973190.000,450.912,98
India,Krishna,6.053,7.661,297.384,1340647562.714,2973190.000,450.912,98
India,Mahandi,6.766,7.697,132.528,1340647562.714,2973190.000,450.912,98
India,Mahi,7.219,8.189,294.108,1340647562.714,2973190.000,450.912,98
India,Muhuri,6.468,7.128,65.567,1361832772.000,2973190.000,458.038,98
India,Narmada,6.946,7.831,216.396,1340647562.714,2973190.000,450.912,98
India,Penner,6.151,7.613,476.336,1340647562.714,2973190.000,450.912,98
India,Subarnerekha,6.655,7.532,116.135,1347824099.333,2973190.000,453.326,98
India,Tapti,6.57,7.8,302.8,1340647562.714,2973190.000,450.912,98
Italy,Po,18.193,7.813,54.81,61426131.857,295720.000,207.717,24
Mexico,Armenia,6.977,8.103,396.724,125819462.857,1943950.000,64.724,46
Mexico,Balsas,4.837,7.719,1479.3,125819462.857,1943950.000,64.724,46
Mexico,Candelaria,4.356,7.366,862.871,125819462.857,1943950.000,64.724,46
Mexico,Coatan Achute,5.063,7.483,212.48,125819462.857,1943950.000,64.724,46
Mexico,Colorado,7.943,8.026,8853.481,125819462.857,1943950.000,64.724,46
Mexico,Concepcion,7.619,7.696,445.849,125819462.857,1943950.000,64.724,46
Mexico,Fuerte Nuevo,6.206,8.024,655.761,125819462.857,1943950.000,64.724,46
Mexico,Grijalva,5.611,7.751,3085.12,125819462.857,1943950.000,64.724,46
Mexico,Hondo,4.473,7.443,1309.357,125819462.857,1943950.000,64.724,46
Mexico,Panuco,4.946,7.851,1397.676,125819462.857,1943950.000,64.724,46
Mexico,Papaloadan,4.727,7.649,1661.754,125819462.857,1943950.000,64.724,46
Mexico,Rio Grande,7.273,7.93,939.887,125819462.857,1943950.000,64.724,46
Mexico,San Pedro,6.156,7.833,2194.153,125819462.857,1943950.000,64.724,46
Mexico,Santa Clara,6.933,7.956,2229.943,125819462.857,1943950.000,64.724,46
Mexico,Santiago-Lerma-Chapala,4.921,7.859,456.039,125819462.857,1943950.000,64.724,46
Mexico,Suchiate,5.514,7.223,98.283,125819462.857,1943950.000,64.724,46
Mexico,Tijuana,7.397,8.131,1359.869,125819462.857,1943950.000,64.724,46
Mexico,Verde,3.831,7.711,663.351,125819462.857,1943950.000,64.724,46
Mexico,Yaqui,6.84,7.897,379.263,125819462.857,1943950.000,64.724,46
Netherlands,Ems,8.753,7.432,17.38,17295357.000,33670.000,513.673,19
Netherlands,Rhine-Meuse,9.637,7.942,14.407,17295357.000,33670.000,513.673,19
Netherlands,Vecht,8.967,7.687,11.17,17295357.000,33670.000,513.673,19
South Korea,Han,6.814,7.649,102.34,51560021.000,97600.000,528.279,41
Switzerland,Po,18.193,7.813,54.81,8470049.429,39510.000,214.377,14
Uruguay,La Plata,7.734,7.648,1742.316,3452407.667,175020.000,19.726,54
