Model,Feature_Selection,Dimensionality_Reduction_Technique,CV MSE Mean,CV MSE SD,CV MAE Mean,CV MAE SD,Final MSE,Final MAE
NSVR-2,None,None,700.2422717653789,1142.9887242794591,12.868750261617256,5.845710591188388,176.28389128038177,12.21457418717654
NSVR-2,ANOVA1,None,143.22347960359906,42.73479451123023,11.039408595019303,1.6650487428620004,172.1250794485929,12.455919987601948
NSVR-2,ANOVA2,None,154.10455429433915,53.05569530086407,11.291545395982022,1.944174509941661,160.08359324399075,12.05658834571649
NSVR-2,ANOVA3,None,125.76643091045125,46.29278294283914,9.9631044204484,1.6168361360571641,162.41366246693934,11.881178452266143
NSVR-2,CHISQ1,None,143.22347960359906,42.73479451123023,11.039408595019303,1.6650487428620004,172.1250794485929,12.455919987601948
NSVR-2,CHISQ2,None,154.10455429433915,53.05569530086407,11.291545395982022,1.944174509941661,160.08359324399075,12.05658834571649
NSVR-2,CHISQ3,None,125.76643091045125,46.29278294283914,9.9631044204484,1.6168361360571641,162.41366246693934,11.881178452266143
NSVR-2,MIT1,None,143.22347960359906,42.73479451123023,11.039408595019303,1.6650487428620004,172.1250794485929,12.455919987601948
NSVR-2,MIT2,None,154.10455429433915,53.05569530086407,11.291545395982022,1.944174509941661,160.08359324399075,12.05658834571649
NSVR-2,MIT3,None,125.76643091045125,46.29278294283914,9.9631044204484,1.6168361360571641,162.41366246693934,11.881178452266143
NSVR-2,PCR1,None,143.22347960359906,42.73479451123023,11.039408595019303,1.6650487428620004,172.1250794485929,12.455919987601948
NSVR-2,PCR2,None,154.10455429433915,53.05569530086407,11.291545395982022,1.944174509941661,160.08359324399075,12.05658834571649
NSVR-2,PCR3,None,154.48428912303726,54.91235238908299,11.217150283723573,1.970909573044521,184.10144767944942,12.76143283971865
NSVR-2,None,DL1,159712.01450916962,53716.89106717393,218.90684421057185,57.381172379218775,128926.84046211623,185.3103661447519
NSVR-2,None,DL2,159640.2175528597,52702.637828137704,217.7630635732301,58.17681399705201,118480.81829053709,177.3271628979251
NSVR-2,None,DL3,157446.73100556506,53676.50737732702,208.8671345545396,62.49302958016146,118443.95730925183,176.3840050887409
NSVR-2,None,FA1,312.300628552324,264.47241736914714,14.205737413338372,3.910180241403919,233.50400708223663,14.798995397075023
NSVR-2,None,FA2,5668.936360932266,10813.656516927567,24.61261000950277,20.43746728169344,221.63835116565548,14.338860033292635
NSVR-2,None,FA3,1075.354461606753,1026.0168379624445,21.302732151665076,4.112821669592071,416.3065006353894,17.620912143768003
NSVR-2,None,ICA1,448.9094730688729,533.5385149586458,15.073998674885242,5.256776645299196,215.8284521721994,14.295993998792806
NSVR-2,None,ICA2,787.1579372889335,626.5765481584025,20.158133697139075,4.030138887060869,366.6305475183032,16.97559226073941
NSVR-2,None,ICA3,811.7590542959279,174.5062622326294,21.302945026778175,1.5759063789257644,539.7960052578691,18.75946956017322
NSVR-2,None,IPCA1,469.9315129887917,574.5231416742636,15.166785788416707,5.420698191752687,215.8367149944823,14.297229870903113
NSVR-2,None,IPCA2,229.40686270183633,100.84298671725773,13.775965584642401,2.7525076325715188,217.4131504625358,14.337820225796882
NSVR-2,None,IPCA3,237.56971765828644,99.50798760572458,13.934809071007772,2.505229544547578,213.46122652589546,14.194967324599315
NSVR-2,None,KPCA1-2,732.6225725108194,1119.5305423266082,15.78886253144097,7.180077901028907,201.51478121816126,13.790864460802162
NSVR-2,None,KPCA2-2,193.68427569944308,59.29488314710583,12.898238251162969,1.9789871290739707,198.34099930229104,13.6747369539363
NSVR-2,None,KPCA3-2,221.60087982568302,100.63354398150442,13.442166460630915,2.568420645856175,195.694626942929,13.556666486613542
NSVR-2,None,KPCA1-3,1368.0817463076194,2406.1390472656876,17.03982525009541,10.1303436738488,190.0262329512351,13.361539801104787
NSVR-2,None,KPCA2-3,216.36856813429927,107.94135244904686,13.24066693921696,2.7589529912056254,186.9702105026574,13.243124462047698
NSVR-2,None,KPCA3-3,336.44818888314694,334.7551623002387,14.159948886500198,4.088708243918256,184.98589926583023,13.154189665081695
NSVR-2,None,KPCA1-4,2890.3411103268318,5463.561005030387,19.204231195060807,14.850280267636283,180.80043130591488,12.998642069181367
NSVR-2,None,KPCA2-4,327.5837239385721,339.8545489517576,13.866162567643608,4.325161534686069,177.62529026563823,12.871579194500965
NSVR-2,None,KPCA3-4,854.9863062448237,1385.2644567430411,15.739164916629738,7.590845002297899,175.89093748460235,12.791877831402527
NSVR-2,None,KPCA1-5,6495.04118087668,12682.63608255621,22.734849541924184,22.2204482278619,173.50395874250856,12.698059598772138
NSVR-2,None,KPCA2-5,596.2506301692267,887.5490715819298,14.780341755086743,6.481946737130892,170.09827551548963,12.559271269368157
NSVR-2,None,KPCA3-5,2990.6157058352483,5671.566680791519,19.108235454202816,14.809497051880506,168.84424128231785,12.497428170355402
NSVR-2,None,KPCA1-6,15511.598750114335,30723.777307122276,28.577286165695476,34.18152426058144,167.6958197354823,12.447498205464516
NSVR-2,None,KPCA2-6,1175.9979430719466,2053.624208356684,16.165705392346528,9.455805079887154,164.16223919630784,12.302330926036095
NSVR-2,None,KPCA3-6,11438.468788694534,22573.275349728432,26.123146497311904,29.028703026413165,163.2556809016819,12.253147426218655
NSVR-2,None,KPCA1-R,191.0859994889328,57.255498220379735,12.661261504377356,1.774809171085856,209.08814966297254,14.04450534435736
